Id,MSSubClass,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,BldgType,HouseStyle,OverallQual,OverallCond,Neighborhood,Condition1,Condition2,LandContour,Utilities,LotConfig,LandSlope,LotArea,Street,Alley,LotShape,MSZoning,LotFrontage,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,0,0,NA,NA,NA,0,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,1,0,1,0,3,1,TA,5,Typ,0,NA,GasA,Ex,Y,SBrkr,1040,0,0,1040,TA,TA,No,Rec,906,Unf,0,134,1040,HdBoard,None,0,TA,TA,CBlock,1965,1965,Hip,CompShg,HdBoard,1Fam,1Story,5,5,Sawyer,Norm,Norm,Lvl,AllPub,Inside,Gtl,11200,Pave,NA,Reg,RL,70,2,2008,WD,Normal,129500
12,60,0,0,NA,NA,NA,0,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,1,0,3,0,4,1,Ex,11,Typ,2,Gd,GasA,Ex,Y,SBrkr,1182,1142,0,2324,Ex,TA,No,GLQ,998,Unf,0,177,1175,Wd Shng,Stone,286,Ex,TA,PConc,2005,2006,Hip,CompShg,WdShing,1Fam,2Story,9,5,NridgHt,Norm,Norm,Lvl,AllPub,Inside,Gtl,11924,Pave,NA,IR1,RL,85,7,2006,New,Partial,345000
13,20,176,0,NA,NA,NA,0,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,1,0,1,0,2,1,TA,4,Typ,0,NA,GasA,TA,Y,SBrkr,912,0,0,912,TA,TA,No,ALQ,737,Unf,0,175,912,Plywood,None,0,TA,TA,CBlock,1962,1962,Hip,CompShg,HdBoard,1Fam,1Story,5,6,Sawyer,Norm,Norm,Lvl,AllPub,Inside,Gtl,12968,Pave,NA,IR2,RL,NA,9,2008,WD,Normal,144000
14,20,0,0,NA,NA,NA,0,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,GasA,Ex,Y,SBrkr,1494,0,0,1494,Gd,TA,Av,Unf,0,Unf,0,1494,1494,VinylSd,Stone,306,Gd,TA,PConc,2006,2007,Gable,CompShg,VinylSd,1Fam,1Story,7,5,CollgCr,Norm,Norm,Lvl,AllPub,Inside,Gtl,10652,Pave,NA,IR1,RL,91,8,2007,New,Partial,279500
15,20,0,0,NA,GdWo,NA,0,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,1,0,1,1,2,1,TA,5,Typ,1,Fa,GasA,TA,Y,SBrkr,1253,0,0,1253,TA,TA,No,BLQ,733,Unf,0,520,1253,MetalSd,BrkFace,212,TA,TA,CBlock,1960,1960,Hip,CompShg,MetalSd,1Fam,1Story,6,5,NAmes,Norm,Norm,Lvl,AllPub,Corner,Gtl,10920,Pave,NA,IR1,RL,NA,5,2008,WD,Normal,157000
16,45,0,0,NA,GdPrv,NA,0,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,1,0,2,1,TA,5,Typ,0,NA,GasA,Ex,Y,FuseA,854,0,0,854,TA,TA,No,Unf,0,Unf,0,832,832,Wd Sdng,None,0,TA,TA,BrkTil,1929,2001,Gable,CompShg,Wd Sdng,1Fam,1.5Unf,7,8,BrkSide,Norm,Norm,Lvl,AllPub,Corner,Gtl,6120,Pave,NA,Reg,RM,51,7,2007,WD,Normal,132000
17,20,0,0,NA,NA,Shed,700,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,1,0,1,0,2,1,TA,5,Typ,1,TA,GasA,Ex,Y,SBrkr,1004,0,0,1004,TA,TA,No,ALQ,578,Unf,0,426,1004,Wd Sdng,BrkFace,180,TA,TA,CBlock,1970,1970,Gable,CompShg,Wd Sdng,1Fam,1Story,6,7,NAmes,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,11241,Pave,NA,IR1,RL,NA,3,2010,WD,Normal,149000
18,90,0,0,NA,NA,Shed,500,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,2,0,2,2,TA,6,Typ,0,NA,GasA,TA,Y,SBrkr,1296,0,0,1296,NA,NA,NA,NA,0,NA,0,0,0,MetalSd,None,0,TA,TA,Slab,1967,1967,Gable,CompShg,MetalSd,Duplex,1Story,4,5,Sawyer,Norm,Norm,Lvl,AllPub,Inside,Gtl,10791,Pave,NA,Reg,RL,72,10,2006,WD,Normal,90000
19,20,0,0,NA,NA,NA,0,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,1,0,1,1,3,1,Gd,6,Typ,0,NA,GasA,Ex,Y,SBrkr,1114,0,0,1114,TA,TA,No,GLQ,646,Unf,0,468,1114,VinylSd,None,0,TA,TA,PConc,2004,2004,Gable,CompShg,VinylSd,1Fam,1Story,5,5,SawyerW,RRAe,Norm,Lvl,AllPub,Inside,Gtl,13695,Pave,NA,Reg,RL,66,6,2008,WD,Normal,159000
20,20,0,0,NA,MnPrv,NA,0,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,1,0,3,1,TA,6,Min1,0,NA,GasA,TA,Y,SBrkr,1339,0,0,1339,TA,TA,No,LwQ,504,Unf,0,525,1029,Plywood,None,0,TA,TA,CBlock,1958,1965,Hip,CompShg,BrkFace,1Fam,1Story,5,6,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,7560,Pave,NA,Reg,RL,70,5,2009,COD,Abnorml,139000
21,60,0,0,NA,NA,NA,0,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,GasA,Ex,Y,SBrkr,1158,1218,0,2376,Ex,TA,Av,Unf,0,Unf,0,1158,1158,VinylSd,BrkFace,380,Gd,TA,PConc,2005,2006,Gable,CompShg,VinylSd,1Fam,2Story,8,5,NridgHt,Norm,Norm,Lvl,AllPub,Corner,Gtl,14215,Pave,NA,IR1,RL,101,11,2006,New,Partial,325300
22,45,0,0,NA,GdPrv,NA,0,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,0,1,0,3,1,Gd,6,Typ,1,Gd,GasA,Ex,Y,FuseF,1108,0,0,1108,TA,TA,No,Unf,0,Unf,0,637,637,Wd Sdng,None,0,TA,TA,PConc,1930,1950,Gable,CompShg,Wd Sdng,1Fam,1.5Unf,7,7,IDOTRR,Norm,Norm,Bnk,AllPub,Inside,Gtl,7449,Pave,Grvl,Reg,RM,57,6,2007,WD,Normal,139400
23,20,0,0,NA,NA,NA,0,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,GasA,Ex,Y,SBrkr,1795,0,0,1795,Gd,TA,No,Unf,0,Unf,0,1777,1777,VinylSd,BrkFace,281,Gd,TA,PConc,2002,2002,Hip,CompShg,VinylSd,1Fam,1Story,8,5,CollgCr,Norm,Norm,Lvl,AllPub,Inside,Gtl,9742,Pave,NA,Reg,RL,75,9,2008,WD,Normal,230000
24,120,0,0,NA,NA,NA,0,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,1,0,1,0,3,1,TA,6,Typ,1,TA,GasA,TA,Y,SBrkr,1060,0,0,1060,Gd,TA,No,GLQ,840,Unf,0,200,1040,CmentBd,None,0,TA,TA,PConc,1976,1976,Gable,CompShg,CemntBd,TwnhsE,1Story,5,7,MeadowV,Norm,Norm,Lvl,AllPub,Inside,Gtl,4224,Pave,NA,Reg,RM,44,6,2007,WD,Normal,129900
25,20,0,0,NA,MnPrv,NA,0,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,1,0,1,0,3,1,Gd,6,Typ,1,TA,GasA,Ex,Y,SBrkr,1060,0,0,1060,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Plywood,None,0,TA,Gd,CBlock,1968,2001,Gable,CompShg,Plywood,1Fam,1Story,5,8,Sawyer,Norm,Norm,Lvl,AllPub,Inside,Gtl,8246,Pave,NA,IR1,RL,NA,5,2010,WD,Normal,154000
26,20,0,0,NA,NA,NA,0,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,GasA,Ex,Y,SBrkr,1600,0,0,1600,Gd,TA,No,Unf,0,Unf,0,1566,1566,VinylSd,Stone,640,Gd,TA,PConc,2007,2007,Gable,CompShg,VinylSd,1Fam,1Story,8,5,NridgHt,Norm,Norm,Lvl,AllPub,Corner,Gtl,14230,Pave,NA,Reg,RL,110,7,2009,WD,Normal,256300
27,20,0,0,NA,NA,NA,0,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,1,1,0,3,1,Gd,5,Typ,0,NA,GasA,TA,Y,SBrkr,900,0,0,900,TA,TA,Mn,BLQ,234,Rec,486,180,900,Wd Sdng,None,0,TA,TA,CBlock,1951,2000,Gable,CompShg,Wd Sdng,1Fam,1Story,5,7,NAmes,Norm,Norm,Lvl,AllPub,Corner,Gtl,7200,Pave,NA,Reg,RL,60,5,2010,WD,Normal,134800
28,20,0,0,NA,NA,NA,0,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,GasA,Ex,Y,SBrkr,1704,0,0,1704,Ex,TA,No,GLQ,1218,Unf,0,486,1704,VinylSd,Stone,200,Gd,TA,PConc,2007,2008,Gable,CompShg,VinylSd,1Fam,1Story,8,5,NridgHt,Norm,Norm,Lvl,AllPub,Inside,Gtl,11478,Pave,NA,Reg,RL,98,5,2010,WD,Normal,306000
29,20,0,0,NA,NA,NA,0,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,1,0,1,0,2,1,TA,6,Typ,2,Gd,GasA,TA,Y,SBrkr,1600,0,0,1600,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,MetalSd,None,0,TA,TA,CBlock,1957,1997,Gable,CompShg,MetalSd,1Fam,1Story,5,6,NAmes,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,16321,Pave,NA,IR1,RL,47,12,2006,WD,Normal,207500
30,30,0,0,NA,NA,NA,0,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,1,0,1,1,Fa,4,Typ,0,NA,GasA,Fa,N,SBrkr,520,0,0,520,TA,TA,No,Unf,0,Unf,0,520,520,MetalSd,None,0,TA,TA,BrkTil,1927,1950,Gable,CompShg,MetalSd,1Fam,1Story,4,6,BrkSide,Feedr,RRNn,Lvl,AllPub,Inside,Gtl,6324,Pave,NA,IR1,RM,60,5,2008,WD,Normal,68500
31,70,0,0,NA,MnPrv,NA,0,Detchd,1920,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,1,0,3,1,TA,6,Typ,0,NA,GasA,TA,N,SBrkr,649,668,0,1317,TA,TA,No,Unf,0,Unf,0,649,649,BrkFace,None,0,TA,Fa,BrkTil,1920,1950,Gambrel,CompShg,BrkFace,1Fam,2Story,4,4,IDOTRR,Feedr,Norm,Lvl,AllPub,Inside,Gtl,8500,Pave,Pave,Reg,C (all),50,7,2008,WD,Normal,40000
32,20,0,0,NA,MnPrv,NA,0,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,1,1,3,1,Gd,6,Typ,0,NA,GasA,Gd,Y,SBrkr,1228,0,0,1228,TA,TA,No,Unf,0,Unf,0,1228,1228,HdBoard,None,0,TA,TA,CBlock,1966,2006,Gable,CompShg,HdBoard,1Fam,1Story,5,6,Sawyer,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,8544,Pave,NA,IR1,RL,NA,6,2008,WD,Normal,149350
33,20,0,0,NA,NA,NA,0,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,2,0,3,1,Gd,7,Typ,0,NA,GasA,Ex,Y,SBrkr,1234,0,0,1234,Ex,TA,Av,Unf,0,Unf,0,1234,1234,VinylSd,None,0,Gd,TA,PConc,2007,2007,Gable,CompShg,VinylSd,1Fam,1Story,8,5,CollgCr,Norm,Norm,Lvl,AllPub,Corner,Gtl,11049,Pave,NA,Reg,RL,85,1,2008,WD,Normal,179900
34,20,0,0,NA,NA,NA,0,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,1,1,1,4,1,Gd,6,Typ,1,Gd,GasA,Gd,Y,SBrkr,1700,0,0,1700,TA,TA,No,Rec,1018,Unf,0,380,1398,BrkFace,None,0,TA,TA,CBlock,1959,1959,Hip,CompShg,BrkFace,1Fam,1Story,5,5,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,10552,Pave,NA,IR1,RL,70,4,2010,WD,Normal,165500
35,120,0,0,NA,NA,NA,0,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,GasA,Ex,Y,SBrkr,1561,0,0,1561,Ex,TA,No,GLQ,1153,Unf,0,408,1561,MetalSd,BrkFace,246,Ex,TA,PConc,2005,2005,Hip,CompShg,MetalSd,TwnhsE,1Story,9,5,NridgHt,Norm,Norm,Lvl,AllPub,Inside,Gtl,7313,Pave,NA,Reg,RL,60,8,2007,WD,Normal,277500
36,60,0,0,NA,NA,NA,0,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,3,1,4,1,Gd,9,Typ,1,Gd,GasA,Ex,Y,SBrkr,1132,1320,0,2452,Ex,TA,Av,Unf,0,Unf,0,1117,1117,VinylSd,Stone,132,Gd,TA,PConc,2004,2005,Gable,CompShg,VinylSd,1Fam,2Story,8,5,NridgHt,Norm,Norm,Lvl,AllPub,Inside,Gtl,13418,Pave,NA,Reg,RL,108,9,2006,WD,Normal,309000
37,20,0,0,NA,NA,NA,0,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,1,1,3,1,TA,6,Typ,0,NA,GasA,Ex,Y,SBrkr,1097,0,0,1097,Gd,TA,No,Unf,0,Unf,0,1097,1097,VinylSd,None,0,TA,TA,PConc,1994,1995,Gable,CompShg,VinylSd,1Fam,1Story,5,5,CollgCr,Norm,Norm,Lvl,AllPub,Corner,Gtl,10859,Pave,NA,Reg,RL,112,6,2009,WD,Normal,145000
38,20,0,0,NA,NA,NA,0,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,1,1,0,3,1,TA,5,Typ,1,TA,GasA,Gd,Y,SBrkr,1297,0,0,1297,TA,TA,No,Rec,1213,Unf,0,84,1297,Wd Sdng,BrkFace,650,TA,TA,CBlock,1954,1990,Hip,CompShg,Wd Sdng,1Fam,1Story,5,6,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,8532,Pave,NA,Reg,RL,74,10,2009,WD,Normal,153000
39,20,0,0,NA,NA,NA,0,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,1,0,1,0,3,1,Gd,5,Typ,0,NA,GasA,TA,Y,SBrkr,1057,0,0,1057,TA,TA,No,GLQ,731,Unf,0,326,1057,VinylSd,None,0,TA,Gd,CBlock,1953,2007,Gable,CompShg,VinylSd,1Fam,1Story,5,7,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,7922,Pave,NA,Reg,RL,68,1,2010,WD,Abnorml,109000
40,90,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,N,0,0,0,0,0,0,2,0,2,2,Fa,6,Typ,0,NA,GasA,TA,N,FuseP,1152,0,0,1152,NA,NA,NA,NA,0,NA,0,0,0,Plywood,None,0,TA,TA,PConc,1955,1955,Gable,CompShg,AsbShng,Duplex,1Story,4,5,Edwards,Norm,Norm,Lvl,AllPub,Inside,Gtl,6040,Pave,NA,Reg,RL,65,6,2008,WD,AdjLand,82000
41,20,0,0,NA,GdWo,NA,0,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,2,0,3,1,TA,6,Typ,1,TA,GasA,Ex,Y,SBrkr,1324,0,0,1324,TA,TA,No,Rec,643,Unf,0,445,1088,Wd Sdng,BrkFace,101,TA,TA,CBlock,1965,1965,Gable,CompShg,Wd Sdng,1Fam,1Story,6,5,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,8658,Pave,NA,Reg,RL,84,12,2006,WD,Abnorml,160000
42,20,0,0,NA,NA,NA,0,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,1,1,1,2,1,TA,5,Typ,2,Gd,GasA,Gd,Y,SBrkr,1328,0,0,1328,TA,TA,Gd,BLQ,967,Unf,0,383,1350,VinylSd,None,0,TA,Gd,CBlock,1959,1959,Gable,CompShg,VinylSd,1Fam,1Story,5,6,Timber,Norm,Norm,Lvl,AllPub,Inside,Gtl,16905,Pave,NA,Reg,RL,115,7,2007,WD,Normal,170000
43,85,0,0,NA,MnPrv,NA,0,Attchd,1983,RFn,2,504,TA,Gd,Y,240,0,0,0,1,0,1,0,2,1,Gd,5,Typ,0,NA,GasA,Gd,Y,SBrkr,884,0,0,884,Gd,TA,Av,ALQ,747,LwQ,93,0,840,HdBoard,None,0,TA,TA,CBlock,1983,1983,Gable,CompShg,HdBoard,1Fam,SFoyer,5,7,SawyerW,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,9180,Pave,NA,IR1,RL,NA,12,2007,WD,Normal,144000
44,20,0,0,NA,MnPrv,NA,0,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,1,0,1,0,3,1,TA,5,Typ,0,NA,GasA,TA,Y,SBrkr,938,0,0,938,Gd,TA,Av,LwQ,280,BLQ,491,167,938,VinylSd,None,0,TA,TA,CBlock,1975,1980,Hip,CompShg,VinylSd,1Fam,1Story,5,6,CollgCr,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,9200,Pave,NA,IR1,RL,NA,7,2008,WD,Normal,130250
45,20,0,0,NA,NA,NA,0,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,1,0,1,0,3,1,TA,6,Typ,0,NA,GasA,Ex,Y,FuseA,1150,0,0,1150,TA,TA,No,ALQ,179,BLQ,506,465,1150,Wd Sdng,None,0,TA,TA,CBlock,1959,1959,Gable,CompShg,BrkFace,1Fam,1Story,5,6,NAmes,Norm,Norm,Lvl,AllPub,Inside,Gtl,7945,Pave,NA,Reg,RL,70,5,2006,WD,Normal,141000
46,120,0,0,NA,NA,NA,0,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,1,0,2,0,2,1,Ex,6,Typ,1,Gd,GasA,Ex,Y,SBrkr,1752,0,0,1752,Ex,TA,No,GLQ,456,Unf,0,1296,1752,MetalSd,BrkFace,412,Ex,TA,PConc,2005,2005,Hip,CompShg,MetalSd,TwnhsE,1Story,9,5,NridgHt,Norm,Norm,Lvl,AllPub,Inside,Gtl,7658,Pave,NA,Reg,RL,61,2,2010,WD,Normal,319900
47,50,198,0,NA,NA,NA,0,Attchd,2003,RFn,2,670,TA,TA,Y,168,43,0,0,1,0,1,1,1,1,Gd,6,Typ,1,Ex,GasA,Ex,Y,SBrkr,1518,631,0,2149,Ex,TA,No,GLQ,1351,Unf,0,83,1434,VinylSd,None,0,Gd,TA,PConc,2003,2003,Gable,CompShg,VinylSd,1Fam,1.5Fin,7,5,Mitchel,Norm,Norm,Lvl,AllPub,CulDSac,Gtl,12822,Pave,NA,IR1,RL,48,8,2009,WD,Abnorml,239686
48,20,0,0,NA,NA,NA,0,Attchd,2006,RFn,3,826,TA,TA,Y,0,146,0,0,0,0,2,0,3,1,Gd,7,Typ,0,NA,GasA,Ex,Y,SBrkr,1656,0,0,1656,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,VinylSd,None,0,Gd,TA,PConc,2006,2006,Gable,CompShg,VinylSd,1Fam,1Story,8,5,Somerst,Norm,Norm,Lvl,AllPub,Inside,Gtl,11096,Pave,NA,Reg,FV,84,7,2007,WD,Normal,249700
49,190,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,N,0,0,102,0,0,0,2,0,2,3,TA,8,Typ,0,NA,GasA,Gd,Y,SBrkr,736,716,0,1452,TA,TA,No,Unf,0,Unf,0,736,736,MetalSd,None,0,TA,TA,BrkTil,1920,2008,Gable,CompShg,MetalSd,2fmCon,2Story,4,5,OldTown,Norm,Norm,Lvl,AllPub,Inside,Gtl,4456,Pave,NA,Reg,RM,33,6,2009,New,Partial,113000
50,20,0,0,NA,MnPrv,NA,0,Attchd,1966,Unf,1,386,TA,TA,Y,0,0,0,0,1,0,1,0,3,1,TA,6,Typ,0,NA,GasA,Ex,Y,SBrkr,955,0,0,955,TA,TA,No,BLQ,763,Unf,0,192,955,HdBoard,None,0,TA,TA,CBlock,1966,1966,Gable,CompShg,HdBoard,1Fam,1Story,5,7,Sawyer,Norm,Norm,Lvl,AllPub,Inside,Gtl,7742,Pave,NA,Reg,RL,66,1,2007,WD,Normal,127000
